gene,in_ST,in_scRNA,exact_overlap,case_insensitive_overlap,used_for_formal_overlap
AC012615.1,True,False,False,False,False
AC012615.2,True,False,False,False,False
AC012615.3,True,False,False,False,False
AC012615.4,True,False,False,False,False
AC012615.5,True,False,False,False,False
AC012617.1,True,False,False,False,False
AC012625.1,True,False,False,False,False
AC012629.1,True,False,False,False,False
AC012629.2,True,False,False,False,False
AC012636.1,True,False,False,False,False
AC012640.1,True,False,False,False,False
AC012640.2,True,False,False,False,False
AC012640.3,True,False,False,False,False
AC012640.4,True,False,False,False,False
AC012645.1,True,False,False,False,False
AC012645.2,True,False,False,False,False
AC012645.3,True,False,False,False,False
AC012645.4,True,False,False,False,False
AC012651.1,True,False,False,False,False
AC012668.1,True,False,False,False,False
AC012668.2,True,False,False,False,False
AC012668.3,True,False,False,False,False
AC013248.1,True,False,False,False,False
AC013264.1,True,False,False,False,False
AC013269.1,True,False,False,False,False
AC013269.2,True,False,False,False,False
AC013270.1,True,False,False,False,False
AC013271.1,True,False,False,False,False
AC013275.1,True,False,False,False,False
AC013286.1,True,False,False,False,False
AC013356.2,True,False,False,False,False
AC013356.3,True,False,False,False,False
AC013356.4,True,False,False,False,False
AC013391.1,True,False,False,False,False
AC013391.3,True,False,False,False,False
AC013394.1,True,False,False,False,False
AC013400.1,True,False,False,False,False
AC013401.1,True,False,False,False,False
AC013402.1,True,False,False,False,False
AC013402.2,True,False,False,False,False
AC013402.3,True,False,False,False,False
AC013403.2,True,False,False,False,False
AC013417.1,True,False,False,False,False
AC013436.1,True,False,False,False,False
AC013437.1,True,False,False,False,False
AC013448.1,True,False,False,False,False
AC013448.2,True,False,False,False,False
AC013451.1,True,False,False,False,False
AC013451.2,True,False,False,False,False
AC013452.2,True,False,False,False,False
AC013457.1,True,False,False,False,False
AC013468.1,True,False,False,False,False
AC013470.2,True,False,False,False,False
AC013472.2,True,False,False,False,False
AC013472.3,True,False,False,False,False
AC013476.1,True,False,False,False,False
AC013480.1,True,False,False,False,False
AC013546.1,True,False,False,False,False
AC013549.1,True,False,False,False,False
AC013549.2,True,False,False,False,False
AC013553.3,True,False,False,False,False
AC013553.4,True,False,False,False,False
AC013565.1,True,False,False,False,False
AC013565.3,True,False,False,False,False
AC013640.1,True,False,False,False,False
AC013643.2,True,False,False,False,False
AC013644.1,True,False,False,False,False
AC013652.1,True,False,False,False,False
AC013652.2,True,False,False,False,False
AC013714.1,True,False,False,False,False
AC013724.1,True,False,False,False,False
AC013726.1,True,False,False,False,False
AC013727.1,True,False,False,False,False
AC013727.2,True,False,False,False,False
AC013731.1,True,False,False,False,False
AC013733.1,True,False,False,False,False
AC013733.2,True,False,False,False,False
AC013762.1,True,False,False,False,False
AC013799.1,True,False,False,False,False
AC015468.1,True,False,False,False,False
AC015468.2,True,False,False,False,False
AC015468.3,True,False,False,False,False
AC015468.4,True,False,False,False,False
AC015522.1,True,False,False,False,False
AC015563.2,True,False,False,False,False
AC015574.1,True,False,False,False,False
AC015660.1,True,False,False,False,False
AC015660.2,True,False,False,False,False
AC015660.3,True,False,False,False,False
AC015660.4,True,False,False,False,False
AC015674.1,True,False,False,False,False
AC015688.4,True,False,False,False,False
AC015688.6,True,False,False,False,False
AC015689.1,True,False,False,False,False
AC015712.1,True,False,False,False,False
AC015712.2,True,False,False,False,False
AC015712.4,True,False,False,False,False
AC015712.7,True,False,False,False,False
AC015722.1,True,False,False,False,False
AC015722.2,True,False,False,False,False
AC015726.1,True,False,False,False,False
AC015726.2,True,False,False,False,False
AC015727.1,True,False,False,False,False
AC015771.1,True,False,False,False,False
AC015795.1,True,False,False,False,False
AC015802.1,True,False,False,False,False
AC015802.4,True,False,False,False,False
AC015802.6,True,False,False,False,False
AC015813.1,True,False,False,False,False
AC015813.2,True,False,False,False,False
AC015813.3,True,False,False,False,False
AC015813.4,True,False,False,False,False
AC015818.2,True,False,False,False,False
AC015818.4,True,False,False,False,False
AC015818.8,True,False,False,False,False
AC015818.9,True,False,False,False,False
AC015819.1,True,False,False,False,False
AC015819.2,True,False,False,False,False
AC015845.1,True,False,False,False,False
AC015845.2,True,False,False,False,False
AC015849.1,True,False,False,False,False
AC015849.2,True,False,False,False,False
AC015849.3,True,False,False,False,False
AC015849.5,True,False,False,False,False
AC015853.1,True,False,False,False,False
AC015853.2,True,False,False,False,False
AC015853.3,True,False,False,False,False
AC015878.1,True,False,False,False,False
AC015908.2,True,False,False,False,False
AC015908.3,True,False,False,False,False
AC015908.4,True,False,False,False,False
AC015909.1,True,False,False,False,False
AC015909.2,True,False,False,False,False
AC015909.3,True,False,False,False,False
AC015909.4,True,False,False,False,False
AC015911.2,True,False,False,False,False
AC015911.5,True,False,False,False,False
AC015911.6,True,False,False,False,False
AC015911.9,True,False,False,False,False
AC015912.1,True,False,False,False,False
AC015912.3,True,False,False,False,False
AC015914.1,True,False,False,False,False
AC015917.2,True,False,False,False,False
AC015921.1,True,False,False,False,False
AC015922.3,True,False,False,False,False
AC015922.4,True,False,False,False,False
AC015923.1,True,False,False,False,False
AC015936.1,True,False,False,False,False
AC015936.2,True,False,False,False,False
AC015961.1,True,False,False,False,False
AC015961.2,True,False,False,False,False
AC015967.1,True,False,False,False,False
AC015969.1,True,False,False,False,False
AC015971.1,True,False,False,False,False
AC015977.2,True,False,False,False,False
AC015982.1,True,False,False,False,False
AC015983.2,True,False,False,False,False
AC015987.1,True,False,False,False,False
AC016027.1,True,False,False,False,False
AC016044.1,True,False,False,False,False
AC016065.1,True,False,False,False,False
AC016074.1,True,False,False,False,False
AC016134.1,True,False,False,False,False
AC016152.1,True,False,False,False,False
AC016168.1,True,False,False,False,False
AC016205.1,True,False,False,False,False
AC016229.1,True,False,False,False,False
AC016229.2,True,False,False,False,False
AC016245.1,True,False,False,False,False
AC016252.1,True,False,False,False,False
AC016257.1,True,False,False,False,False
AC016266.1,True,False,False,False,False
AC016292.1,True,False,False,False,False
AC016355.1,True,False,False,False,False
AC016382.1,True,False,False,False,False
AC016383.1,True,False,False,False,False
AC016394.1,True,False,False,False,False
AC016394.2,True,False,False,False,False
AC016395.1,True,False,False,False,False
AC016396.1,True,False,False,False,False
AC016396.2,True,False,False,False,False
AC016405.2,True,False,False,False,False
AC016405.3,True,False,False,False,False
AC016493.1,True,False,False,False,False
AC016526.1,True,False,False,False,False
AC016526.4,True,False,False,False,False
AC016550.1,True,False,False,False,False
AC016550.2,True,False,False,False,False
AC016550.3,True,False,False,False,False
AC016553.1,True,False,False,False,False
AC016556.1,True,False,False,False,False
AC016573.1,True,False,False,False,False
AC016575.1,True,False,False,False,False
AC016576.1,True,False,False,False,False
AC016588.1,True,False,False,False,False
AC016588.2,True,False,False,False,False
AC016590.1,True,False,False,False,False
AC016590.3,True,False,False,False,False
AC016595.1,True,False,False,False,False
AC016596.1,True,False,False,False,False
AC016597.1,True,False,False,False,False
AC016598.1,True,False,False,False,False
AC016598.2,True,False,False,False,False
AC016629.2,True,False,False,False,False
AC016642.1,True,False,False,False,False
AC016644.1,True,False,False,False,False
AC016650.1,True,False,False,False,False
AC016651.1,True,False,False,False,False
AC016683.1,True,False,False,False,False
AC016687.2,True,False,False,False,False
AC016687.3,True,False,False,False,False
AC016700.3,True,False,False,False,False
AC016705.1,True,False,False,False,False
AC016705.2,True,False,False,False,False
AC016708.1,True,False,False,False,False
AC016710.1,True,False,False,False,False
AC016716.2,True,False,False,False,False
AC016717.2,True,False,False,False,False
AC016722.1,True,False,False,False,False
AC016722.2,True,False,False,False,False
AC016722.3,True,False,False,False,False
AC016723.1,True,False,False,False,False
AC016727.1,True,False,False,False,False
AC016730.1,True,False,False,False,False
AC016735.1,True,False,False,False,False
AC016737.1,True,False,False,False,False
AC016737.2,True,False,False,False,False
AC016738.1,True,False,False,False,False
AC016738.2,True,False,False,False,False
AC016745.1,True,False,False,False,False
AC016745.2,True,False,False,False,False
AC016746.1,True,False,False,False,False
AC016747.2,True,False,False,False,False
AC016751.1,True,False,False,False,False
AC016751.2,True,False,False,False,False
AC016766.1,True,False,False,False,False
AC016773.1,True,False,False,False,False
AC016813.1,True,False,False,False,False
AC016820.1,True,False,False,False,False
AC016825.1,True,False,False,False,False
AC016831.1,True,False,False,False,False
AC016831.5,True,False,False,False,False
AC016831.6,True,False,False,False,False
AC016831.7,True,False,False,False,False
AC016866.1,True,False,False,False,False
AC016866.2,True,False,False,False,False
AC016868.1,True,False,False,False,False
AC016876.1,True,False,False,False,False
AC016876.3,True,False,False,False,False
AC016877.1,True,False,False,False,False
AC016877.3,True,False,False,False,False
AC016885.1,True,False,False,False,False
AC016885.2,True,False,False,False,False
AC016888.1,True,False,False,False,False
AC016903.1,True,False,False,False,False
AC016903.2,True,False,False,False,False
AC016907.2,True,False,False,False,False
AC016909.2,True,False,False,False,False
AC016910.1,True,False,False,False,False
AC016924.1,True,False,False,False,False
AC016933.1,True,False,False,False,False
AC016957.2,True,False,False,False,False
AC016968.1,True,False,False,False,False
AC016987.1,True,False,False,False,False
AC016993.1,True,False,False,False,False
AC016994.1,True,False,False,False,False
AC016999.1,True,False,False,False,False
AC017000.1,True,False,False,False,False
AC017002.1,True,False,False,False,False
AC017002.2,True,False,False,False,False
AC017002.3,True,False,False,False,False
AC017002.5,True,False,False,False,False
AC017006.1,True,False,False,False,False
AC017006.2,True,False,False,False,False
AC017007.5,True,False,False,False,False
AC017015.2,True,False,False,False,False
AC017033.1,True,False,False,False,False
AC017048.1,True,False,False,False,False
AC017048.2,True,False,False,False,False
AC017048.3,True,False,False,False,False
AC017053.1,True,False,False,False,False
AC017067.1,True,False,False,False,False
AC017071.1,True,False,False,False,False
AC017074.1,True,False,False,False,False
AC017074.2,True,False,False,False,False
AC017076.1,True,False,False,False,False
AC017083.1,True,False,False,False,False
AC017083.2,True,False,False,False,False
AC017083.3,True,False,False,False,False
AC017091.1,True,False,False,False,False
AC017100.1,True,False,False,False,False
AC017101.1,True,False,False,False,False
AC017104.3,True,False,False,False,False
AC018358.1,True,False,False,False,False
AC018359.1,True,False,False,False,False
AC018362.1,True,False,False,False,False
AC018362.2,True,False,False,False,False
AC018371.1,True,False,False,False,False
AC018410.1,True,False,False,False,False
AC018410.2,True,False,False,False,False
AC018413.1,True,False,False,False,False
AC018437.2,True,False,False,False,False
AC018442.2,True,False,False,False,False
AC018445.1,True,False,False,False,False
AC018450.2,True,False,False,False,False
AC018462.1,True,False,False,False,False
AC018464.1,True,False,False,False,False
AC018467.1,True,False,False,False,False
AC018495.1,True,False,False,False,False
AC018511.1,True,False,False,False,False
AC018511.2,True,False,False,False,False
AC018512.1,True,False,False,False,False
AC018521.2,True,False,False,False,False
AC018521.3,True,False,False,False,False
AC018521.4,True,False,False,False,False
AC018521.6,True,False,False,False,False
AC018521.7,True,False,False,False,False
AC018523.2,True,False,False,False,False
AC018529.1,True,False,False,False,False
AC018529.2,True,False,False,False,False
AC018541.1,True,False,False,False,False
AC018552.2,True,False,False,False,False
AC018552.3,True,False,False,False,False
AC018553.1,True,False,False,False,False
AC018553.2,True,False,False,False,False
AC018554.1,True,False,False,False,False
AC018554.3,True,False,False,False,False
AC018557.1,True,False,False,False,False
AC018557.2,True,False,False,False,False
AC018558.1,True,False,False,False,False
AC018558.2,True,False,False,False,False
AC018558.3,True,False,False,False,False
AC018616.1,True,False,False,False,False
AC018618.1,True,False,False,False,False
AC018630.2,True,False,False,False,False
AC018635.2,True,False,False,False,False
AC018637.1,True,False,False,False,False
AC018638.6,True,False,False,False,False
AC018638.7,True,False,False,False,False
AC018643.1,True,False,False,False,False
AC018645.2,True,False,False,False,False
AC018647.1,True,False,False,False,False
AC018647.2,True,False,False,False,False
AC018648.1,True,False,False,False,False
AC018653.1,True,False,False,False,False
AC018653.3,True,False,False,False,False
AC018680.1,True,False,False,False,False
AC018682.1,True,False,False,False,False
AC018682.2,True,False,False,False,False
AC018685.1,True,False,False,False,False
AC018685.2,True,False,False,False,False
AC018690.1,True,False,False,False,False
AC018692.1,True,False,False,False,False
AC018693.1,True,False,False,False,False
AC018695.2,True,False,False,False,False
AC018695.3,True,False,False,False,False
AC018695.4,True,False,False,False,False
AC018697.1,True,False,False,False,False
AC018709.1,True,False,False,False,False
AC018716.1,True,False,False,False,False
AC018716.2,True,False,False,False,False
AC018730.1,True,False,False,False,False
AC018731.1,True,False,False,False,False
AC018742.1,True,False,False,False,False
AC018752.1,True,False,False,False,False
AC018754.1,True,False,False,False,False
AC018755.1,True,False,False,False,False
AC018755.2,True,False,False,False,False
AC018761.1,True,False,False,False,False
AC018761.2,True,False,False,False,False
AC018761.3,True,False,False,False,False
AC018761.4,True,False,False,False,False
AC018766.1,True,False,False,False,False
AC018767.1,True,False,False,False,False
AC018767.2,True,False,False,False,False
AC018767.3,True,False,False,False,False
AC018781.1,True,False,False,False,False
AC018797.2,True,False,False,False,False
AC018809.2,True,False,False,False,False
AC018814.1,True,False,False,False,False
AC018816.1,True,False,False,False,False
AC018832.1,True,False,False,False,False
AC018845.1,True,False,False,False,False
AC018845.3,True,False,False,False,False
AC018861.2,True,False,False,False,False
AC018865.1,True,False,False,False,False
AC018866.1,True,False,False,False,False
AC018878.1,True,False,False,False,False
AC018904.1,True,False,False,False,False
AC018943.1,True,False,False,False,False
AC018946.1,True,False,False,False,False
AC018953.1,True,False,False,False,False
AC018980.1,True,False,False,False,False
AC019055.1,True,False,False,False,False
AC019064.1,True,False,False,False,False
AC019068.1,True,False,False,False,False
AC019069.1,True,False,False,False,False
AC019077.1,True,False,False,False,False
AC019080.3,True,False,False,False,False
AC019080.4,True,False,False,False,False
AC019103.1,True,False,False,False,False
AC019117.1,True,False,False,False,False
AC019117.2,True,False,False,False,False
AC019117.3,True,False,False,False,False
AC019118.1,True,False,False,False,False
AC019118.2,True,False,False,False,False
AC019129.2,True,False,False,False,False
AC019130.1,True,False,False,False,False
AC019131.1,True,False,False,False,False
AC019131.2,True,False,False,False,False
AC019133.1,True,False,False,False,False
AC019155.2,True,False,False,False,False
AC019155.3,True,False,False,False,False
AC019163.1,True,False,False,False,False
AC019171.1,True,False,False,False,False
AC019183.1,True,False,False,False,False
AC019186.1,True,False,False,False,False
AC019193.2,True,False,False,False,False
AC019193.3,True,False,False,False,False
AC019197.1,True,False,False,False,False
AC019205.1,True,False,False,False,False
AC019209.1,True,False,False,False,False
AC019209.2,True,False,False,False,False
AC019209.3,True,False,False,False,False
AC019211.1,True,False,False,False,False
AC019254.1,True,False,False,False,False
AC019254.2,True,False,False,False,False
AC019257.1,True,False,False,False,False
AC019257.2,True,False,False,False,False
AC019257.8,True,False,False,False,False
AC019270.1,True,False,False,False,False
AC019294.3,True,False,False,False,False
AC019330.1,True,False,False,False,False
AC019349.1,True,False,False,False,False
AC020551.1,True,False,False,False,False
AC020558.1,True,False,False,False,False
AC020558.2,True,False,False,False,False
AC020559.1,True,False,False,False,False
AC020571.1,True,False,False,False,False
AC020594.1,True,False,False,False,False
AC020595.1,True,False,False,False,False
AC020611.2,True,False,False,False,False
AC020612.3,True,False,False,False,False
AC020634.1,True,False,False,False,False
AC020636.1,True,False,False,False,False
AC020636.2,True,False,False,False,False
AC020637.1,True,False,False,False,False
AC020651.1,True,False,False,False,False
AC020656.1,True,False,False,False,False
AC020656.2,True,False,False,False,False
AC020658.2,True,False,False,False,False
AC020659.1,True,False,False,False,False
AC020659.2,True,False,False,False,False
AC020661.1,True,False,False,False,False
AC020661.2,True,False,False,False,False
AC020661.3,True,False,False,False,False
AC020663.2,True,False,False,False,False
AC020687.1,True,False,False,False,False
AC020703.1,True,False,False,False,False
AC020704.1,True,False,False,False,False
AC020718.1,True,False,False,False,False
AC020719.1,True,False,False,False,False
AC020741.1,True,False,False,False,False
AC020743.1,True,False,False,False,False
AC020743.2,True,False,False,False,False
AC020743.3,True,False,False,False,False
AC020763.1,True,False,False,False,False
AC020765.2,True,False,False,False,False
AC020779.2,True,False,False,False,False
AC020891.2,True,False,False,False,False
AC020892.1,True,False,False,False,False
AC020892.2,True,False,False,False,False
AC020897.1,True,False,False,False,False
AC020900.1,True,False,False,False,False
AC020905.1,True,False,False,False,False
AC020907.1,True,False,False,False,False
AC020907.3,True,False,False,False,False
AC020907.4,True,False,False,False,False
AC020908.1,True,False,False,False,False
AC020908.2,True,False,False,False,False
AC020908.3,True,False,False,False,False
AC020909.1,True,False,False,False,False
AC020909.2,True,False,False,False,False
AC020909.3,True,False,False,False,False
AC020910.4,True,False,False,False,False
AC020911.1,True,False,False,False,False
AC020911.2,True,False,False,False,False
AC020912.1,True,False,False,False,False
AC020913.1,True,False,False,False,False
AC020913.2,True,False,False,False,False
AC020913.3,True,False,False,False,False
AC020914.1,True,False,False,False,False
AC020915.1,True,False,False,False,False
AC020915.3,True,False,False,False,False
AC020915.5,True,False,False,False,False
AC020916.1,True,False,False,False,False
AC020916.2,True,False,False,False,False
AC020917.2,True,False,False,False,False
AC020917.3,True,False,False,False,False
AC020922.1,True,False,False,False,False
AC020922.2,True,False,False,False,False
AC020922.3,True,False,False,False,False
AC020922.4,True,False,False,False,False
AC020928.1,True,False,False,False,False
AC020928.2,True,False,False,False,False
AC020928.3,True,False,False,False,False
AC020931.1,True,False,False,False,False
AC020934.1,True,False,False,False,False
AC020934.2,True,False,False,False,False
AC020978.2,True,False,False,False,False
AC020978.3,True,False,False,False,False
AC020978.5,True,False,False,False,False
AC020980.1,True,False,False,False,False
AC021006.2,True,False,False,False,False
AC021016.3,True,False,False,False,False
AC021028.1,True,False,False,False,False
AC021035.1,True,False,False,False,False
AC021054.1,True,False,False,False,False
AC021066.1,True,False,False,False,False
AC021072.1,True,False,False,False,False
AC021074.3,True,False,False,False,False
AC021086.1,True,False,False,False,False
AC021087.1,True,False,False,False,False
AC021088.1,True,False,False,False,False
AC021092.1,True,False,False,False,False
AC021097.1,True,False,False,False,False
AC021097.2,True,False,False,False,False
AC021127.1,True,False,False,False,False
AC021146.12,True,False,False,False,False
AC021151.1,True,False,False,False,False
AC021180.1,True,False,False,False,False
AC021188.1,True,False,False,False,False
AC021192.1,True,False,False,False,False
AC021205.3,True,False,False,False,False
AC021218.1,True,False,False,False,False
AC021224.1,True,False,False,False,False
AC021231.1,True,False,False,False,False
AC021237.1,True,False,False,False,False
AC021242.2,True,False,False,False,False
AC021242.3,True,False,False,False,False
AC021321.1,True,False,False,False,False
AC021351.1,True,False,False,False,False
AC021355.1,True,False,False,False,False
AC021382.1,True,False,False,False,False
AC021393.1,True,False,False,False,False
AC021422.1,True,False,False,False,False
AC021439.1,True,False,False,False,False
AC021483.1,True,False,False,False,False
AC021483.2,True,False,False,False,False
AC021491.1,True,False,False,False,False
AC021491.3,True,False,False,False,False
AC021491.4,True,False,False,False,False
AC021504.1,True,False,False,False,False
AC021506.1,True,False,False,False,False
AC021534.1,True,False,False,False,False
AC021546.1,True,False,False,False,False
AC021549.1,True,False,False,False,False
AC021594.1,True,False,False,False,False
AC021594.2,True,False,False,False,False
AC021660.2,True,False,False,False,False
AC021678.2,True,False,False,False,False
AC021683.1,True,False,False,False,False
AC021683.2,True,False,False,False,False
AC021683.3,True,False,False,False,False
AC021698.1,True,False,False,False,False
AC021713.1,True,False,False,False,False
AC021733.1,True,False,False,False,False
AC021736.1,True,False,False,False,False
AC021739.2,True,False,False,False,False
AC021739.3,True,False,False,False,False
AC021739.4,True,False,False,False,False
AC021739.5,True,False,False,False,False
AC021744.1,True,False,False,False,False
AC021752.1,True,False,False,False,False
AC021755.2,True,False,False,False,False
AC021755.3,True,False,False,False,False
AC021785.1,True,False,False,False,False
AC021818.1,True,False,False,False,False
AC021851.1,True,False,False,False,False
AC021860.1,True,False,False,False,False
AC021915.1,True,False,False,False,False
AC021915.2,True,False,False,False,False
AC021979.1,True,False,False,False,False
AC021979.2,True,False,False,False,False
AC022001.2,True,False,False,False,False
AC022001.3,True,False,False,False,False
AC022007.1,True,False,False,False,False
AC022017.1,True,False,False,False,False
AC022021.1,True,False,False,False,False
AC022028.2,True,False,False,False,False
AC022031.1,True,False,False,False,False
AC022031.2,True,False,False,False,False
AC022034.2,True,False,False,False,False
AC022034.4,True,False,False,False,False
AC022035.1,True,False,False,False,False
AC022039.1,True,False,False,False,False
AC022075.1,True,False,False,False,False
AC022075.2,True,False,False,False,False
AC022075.3,True,False,False,False,False
AC022079.2,True,False,False,False,False
AC022081.1,True,False,False,False,False
AC022087.1,True,False,False,False,False
AC022092.1,True,False,False,False,False
AC022098.1,True,False,False,False,False
AC022098.2,True,False,False,False,False
AC022098.3,True,False,False,False,False
AC022098.4,True,False,False,False,False
AC022101.1,True,False,False,False,False
AC022113.1,True,False,False,False,False
AC022113.2,True,False,False,False,False
AC022118.1,True,False,False,False,False
AC022126.1,True,False,False,False,False
AC022140.1,True,False,False,False,False
AC022144.1,True,False,False,False,False
AC022145.1,True,False,False,False,False
AC022146.2,True,False,False,False,False
AC022148.1,True,False,False,False,False
AC022148.2,True,False,False,False,False
AC022150.1,True,False,False,False,False
AC022150.3,True,False,False,False,False
AC022154.1,True,False,False,False,False
AC022164.1,True,False,False,False,False
AC022165.1,True,False,False,False,False
AC022166.1,True,False,False,False,False
AC022166.2,True,False,False,False,False
AC022167.1,True,False,False,False,False
AC022167.2,True,False,False,False,False
AC022167.3,True,False,False,False,False
AC022167.4,True,False,False,False,False
AC022167.5,True,False,False,False,False
AC022173.1,True,False,False,False,False
AC022182.1,True,False,False,False,False
AC022182.2,True,False,False,False,False
AC022188.1,True,False,False,False,False
AC022196.1,True,False,False,False,False
AC022201.1,True,False,False,False,False
AC022201.2,True,False,False,False,False
AC022211.2,True,False,False,False,False
AC022217.2,True,False,False,False,False
AC022217.3,True,False,False,False,False
AC022239.1,True,False,False,False,False
AC022240.1,True,False,False,False,False
AC022272.1,True,False,False,False,False
AC022274.1,True,False,False,False,False
AC022294.1,True,False,False,False,False
AC022296.3,True,False,False,False,False
AC022306.2,True,False,False,False,False
AC022335.1,True,False,False,False,False
AC022364.1,True,False,False,False,False
AC022382.1,True,False,False,False,False
AC022384.1,True,False,False,False,False
AC022387.1,True,False,False,False,False
AC022390.1,True,False,False,False,False
AC022392.1,True,False,False,False,False
AC022395.1,True,False,False,False,False
AC022398.1,True,False,False,False,False
AC022400.1,True,False,False,False,False
AC022400.2,True,False,False,False,False
AC022400.6,True,False,False,False,False
AC022400.7,True,False,False,False,False
AC022414.1,True,False,False,False,False
AC022424.1,True,False,False,False,False
AC022424.2,True,False,False,False,False
AC022441.1,True,False,False,False,False
AC022441.2,True,False,False,False,False
AC022445.1,True,False,False,False,False
AC022447.1,True,False,False,False,False
AC022447.3,True,False,False,False,False
AC022447.7,True,False,False,False,False
AC022469.2,True,False,False,False,False
AC022486.1,True,False,False,False,False
AC022498.1,True,False,False,False,False
AC022506.1,True,False,False,False,False
AC022509.1,True,False,False,False,False
AC022509.2,True,False,False,False,False
AC022509.3,True,False,False,False,False
AC022509.4,True,False,False,False,False
AC022511.1,True,False,False,False,False
AC022517.1,True,False,False,False,False
AC022523.1,True,False,False,False,False
AC022523.3,True,False,False,False,False
AC022535.1,True,False,False,False,False
AC022537.1,True,False,False,False,False
AC022540.1,True,False,False,False,False
AC022558.2,True,False,False,False,False
AC022558.3,True,False,False,False,False
AC022568.1,True,False,False,False,False
AC022596.1,True,False,False,False,False
AC022596.2,True,False,False,False,False
AC022601.1,True,False,False,False,False
AC022613.1,True,False,False,False,False
AC022613.2,True,False,False,False,False
AC022634.2,True,False,False,False,False
AC022639.1,True,False,False,False,False
AC022655.1,True,False,False,False,False
AC022679.1,True,False,False,False,False
AC022679.2,True,False,False,False,False
AC022690.2,True,False,False,False,False
AC022695.2,True,False,False,False,False
AC022695.3,True,False,False,False,False
AC022706.1,True,False,False,False,False
AC022710.1,True,False,False,False,False
AC022726.2,True,False,False,False,False
AC022730.3,True,False,False,False,False
AC022730.4,True,False,False,False,False
AC022733.1,True,False,False,False,False
AC022733.2,True,False,False,False,False
AC022762.2,True,False,False,False,False
AC022778.1,True,False,False,False,False
AC022784.1,True,False,False,False,False
AC022784.2,True,False,False,False,False
AC022784.3,True,False,False,False,False
AC022784.4,True,False,False,False,False
AC022784.6,True,False,False,False,False
AC022784.7,True,False,False,False,False
AC022784.8,True,False,False,False,False
AC022796.1,True,False,False,False,False
AC022809.1,True,False,False,False,False
AC022816.1,True,False,False,False,False
AC022826.2,True,False,False,False,False
AC022858.1,True,False,False,False,False
AC022872.1,True,False,False,False,False
AC022874.1,True,False,False,False,False
AC022884.1,True,False,False,False,False
AC022893.1,True,False,False,False,False
AC022893.2,True,False,False,False,False
AC022893.3,True,False,False,False,False
AC022898.1,True,False,False,False,False
AC022903.1,True,False,False,False,False
AC022915.1,True,False,False,False,False
AC022915.2,True,False,False,False,False
AC022915.3,True,False,False,False,False
AC022916.1,True,False,False,False,False
AC022916.4,True,False,False,False,False
AC022929.1,True,False,False,False,False
AC022929.2,True,False,False,False,False
AC022960.1,True,False,False,False,False
AC022966.1,True,False,False,False,False
AC022973.2,True,False,False,False,False
AC022973.3,True,False,False,False,False
AC022973.4,True,False,False,False,False
AC023024.1,True,False,False,False,False
AC023034.1,True,False,False,False,False
AC023034.2,True,False,False,False,False
AC023043.1,True,False,False,False,False
AC023051.1,True,False,False,False,False
AC023055.1,True,False,False,False,False
AC023078.5,True,False,False,False,False
AC023090.1,True,False,False,False,False
AC023115.1,True,False,False,False,False
AC023128.1,True,False,False,False,False
AC023136.1,True,False,False,False,False
AC023137.1,True,False,False,False,False
AC023154.1,True,False,False,False,False
AC023157.3,True,False,False,False,False
AC023161.1,True,False,False,False,False
AC023194.3,True,False,False,False,False
AC023200.1,True,False,False,False,False
AC023202.1,True,False,False,False,False
AC023300.2,True,False,False,False,False
AC023302.1,True,False,False,False,False
AC023310.4,True,False,False,False,False
AC023347.1,True,False,False,False,False
AC023355.1,True,False,False,False,False
AC023389.1,True,False,False,False,False
AC023394.1,True,False,False,False,False
AC023403.1,True,False,False,False,False
AC023421.2,True,False,False,False,False
AC023442.2,True,False,False,False,False
AC023442.3,True,False,False,False,False
AC023469.1,True,False,False,False,False
AC023469.2,True,False,False,False,False
AC023481.1,True,False,False,False,False
AC023490.1,True,False,False,False,False
AC023490.3,True,False,False,False,False
AC023491.2,True,False,False,False,False
AC023509.2,True,False,False,False,False
AC023509.3,True,False,False,False,False
AC023509.4,True,False,False,False,False
AC023510.1,True,False,False,False,False
AC023510.2,True,False,False,False,False
AC023511.1,True,False,False,False,False
AC023590.1,True,False,False,False,False
AC023632.2,True,False,False,False,False
AC023632.5,True,False,False,False,False
AC023644.1,True,False,False,False,False
AC023669.1,True,False,False,False,False
AC023669.2,True,False,False,False,False
AC023762.1,True,False,False,False,False
AC023790.2,True,False,False,False,False
AC023794.1,True,False,False,False,False
AC023794.2,True,False,False,False,False
AC023794.3,True,False,False,False,False
AC023794.4,True,False,False,False,False
AC023794.6,True,False,False,False,False
AC023794.7,True,False,False,False,False
AC023796.1,True,False,False,False,False
AC023796.2,True,False,False,False,False
AC023813.1,True,False,False,False,False
AC023813.3,True,False,False,False,False
AC023813.4,True,False,False,False,False
AC023824.1,True,False,False,False,False
AC023824.3,True,False,False,False,False
AC023824.4,True,False,False,False,False
AC023824.5,True,False,False,False,False
AC023825.2,True,False,False,False,False
AC023830.1,True,False,False,False,False
AC023830.2,True,False,False,False,False
AC023855.1,True,False,False,False,False
AC023866.1,True,False,False,False,False
AC023866.2,True,False,False,False,False
AC023886.1,True,False,False,False,False
AC023905.1,True,False,False,False,False
AC023906.2,True,False,False,False,False
AC023906.3,True,False,False,False,False
AC023906.4,True,False,False,False,False
AC023906.5,True,False,False,False,False
AC023908.3,True,False,False,False,False
AC023932.1,True,False,False,False,False
AC023946.1,True,False,False,False,False
